ID	Lat	Lon	Average	Variance	Votes	Geograph URI
82	51.3468	-0.887095	4.0000	5.0000	2,8,6,2,3,3	http://www.geograph.org.uk/photo/760
83	51.3381	-0.916022	3.7500	3.8542	6,4,8,1,2,4,4,2,2,3,3,6	http://www.geograph.org.uk/photo/765
84	51.3337	-0.926175	5.2500	2.6875	8,5,5,6,6,2,4,6	http://www.geograph.org.uk/photo/766
85	50.4893	-4.86924	3.8571	4.4082	6,6,1,3,1,6,4	http://www.geograph.org.uk/photo/794
86	51.7556	-0.390206	5.5000	2.2500	3,7,6,6	http://www.geograph.org.uk/photo/795
87	51.6113	-4.96837	7.8889	1.6543	6,8,10,9,8,6,9,7,8	http://www.geograph.org.uk/photo/832
88	51.29	-0.869824	3.3333	2.2222	3,3,3,3,4,3,7,1,3	http://www.geograph.org.uk/photo/848
89	51.2802	-0.880102	2.4000	0.6400	3,1,2,3,3	http://www.geograph.org.uk/photo/849
90	51.2803	-0.888704	3.2000	1.7600	6,3,1,2,4,4,3,3,2,4	http://www.geograph.org.uk/photo/851
91	51.2778	-0.914573	2.4000	1.4400	2,3,3,3,1,1,1,2,5,3	http://www.geograph.org.uk/photo/856
92	51.2868	-0.914361	3.2000	1.3600	2,3,2,5,4	http://www.geograph.org.uk/photo/858
93	51.4033	-1.20204	4.5714	8.2449	3,6,9,8,1,3,2	http://www.geograph.org.uk/photo/885
94	50.7538	-0.76936	4.4444	1.5802	4,3,3,6,6,3,4,5,6	http://www.geograph.org.uk/photo/893
95	52.0041	0.000457584	2.9286	3.3520	3,8,2,1,6,3,2,3,2,2,3,2,1,3	http://www.geograph.org.uk/photo/898
96	51.9891	-0.0133234	5.0000	0.4000	5,5,4,5,6	http://www.geograph.org.uk/photo/900
97	52.9612	-3.98182	5.8000	3.9600	6,3,4,6,5,3,6,8,9,8	http://www.geograph.org.uk/photo/904
98	52.9615	-3.96546	6.8750	5.3594	6,8,8,9,10,6,2,6	http://www.geograph.org.uk/photo/905
99	51.7721	-0.286697	4.5556	3.8025	6,8,3,5,1,5,3,4,6	http://www.geograph.org.uk/photo/915
100	52.9587	-3.91321	9.2857	0.4898	10,8,9,10,9,9,10	http://www.geograph.org.uk/photo/916
101	51.7719	-0.269312	3.1667	1.8056	4,5,2,1,4,3	http://www.geograph.org.uk/photo/924
102	51.7889	-0.268658	4.5000	2.5000	8,6,3,3,4,4,4,4	http://www.geograph.org.uk/photo/927
103	51.0597	-0.965349	4.7500	3.1875	6,7,3,3	http://www.geograph.org.uk/photo/950
104	54.163	-1.13458	5.4000	1.8400	6,7,5,3,6	http://www.geograph.org.uk/photo/963
105	54.0925	-1.35013	4.1111	3.4321	1,7,5,3,5,3,2,5,6	http://www.geograph.org.uk/photo/970
106	54.0559	-1.24375	3.6667	2.8889	2,6,5,1,2,3,6,3,4,4,6,5,1,4,1,3,5,5	http://www.geograph.org.uk/photo/971
107	54.1523	-3.07959	4.3333	5.5556	6,1,6	http://www.geograph.org.uk/photo/977
108	50.2925	-3.65958	5.4000	3.8400	7,2,6,7,2,6,6,6,4,8	http://www.geograph.org.uk/photo/1086
109	50.2101	-3.69597	4.1250	4.3594	7,6,2,4,2,5,1,6	http://www.geograph.org.uk/photo/1089
110	51.294	0.761333	5.2857	4.7755	4,5,8,9,5,3,3	http://www.geograph.org.uk/photo/1106
111	58.4068	-3.5489	5.7143	2.4898	6,8,6,7,4,6,3	http://www.geograph.org.uk/photo/1123
112	51.9708	0.598901	3.3333	5.7222	8,2,1,2,1,5,1,6,2,3,2,7	http://www.geograph.org.uk/photo/1172
113	51.9247	0.21802	3.4000	1.8400	4,5,4,3,1	http://www.geograph.org.uk/photo/1178
114	52.368	-2.1983	4.7143	4.4898	4,3,6,5,9,4,2	http://www.geograph.org.uk/photo/1195
115	51.401	-3.17748	6.2000	3.7600	3,9,6,6,7	http://www.geograph.org.uk/photo/1197
116	52.3886	-2.21632	3.2000	2.1600	3,4,3,2,1,4,2,5,6,2	http://www.geograph.org.uk/photo/1201
117	52.368	-2.21299	4.3750	0.7344	5,6,4,4,4,3,4,5	http://www.geograph.org.uk/photo/1204
118	51.4111	-1.04372	3.1667	1.8056	2,6,3,2,3,3	http://www.geograph.org.uk/photo/1221
119	51.4175	-1.04934	2.7500	2.8542	1,4,3,1,1,3,2,1,3,4,3,7	http://www.geograph.org.uk/photo/1224
120	54.103	-2.23707	8.0000	2.0000	10,7,6,8,9	http://www.geograph.org.uk/photo/1238
121	52.7728	-2.00741	6.0000	1.6364	7,6,8,7,4,7,6,7,4,5,5	http://www.geograph.org.uk/photo/1249
122	51.7297	-0.401265	5.1667	4.4722	4,9,7,3,4,4	http://www.geograph.org.uk/photo/1260
123	51.7338	-0.373601	4.0000	4.8571	7,6,3,1,5,5,1	http://www.geograph.org.uk/photo/1263
124	51.3803	-1.2513	3.0000	1.0000	4,3,3,3,4,1	http://www.geograph.org.uk/photo/1267
125	50.5238	-4.54677	4.5000	4.0962	4,1,7,3,8,5,3,8,3,6,6,5,5,4,1,6,6,2,2,4,8,6,5,3,3,3	http://www.geograph.org.uk/photo/1274
126	58.2366	-3.50741	7.2857	2.2041	8,7,6,8,5,10,7	http://www.geograph.org.uk/photo/1289
127	58.6146	-3.45478	7.0000	2.2857	5,10,6,8,7,6,7	http://www.geograph.org.uk/photo/1290
128	54.3091	-4.59033	7.2500	2.6875	8,10,6,9,8,6,5,6	http://www.geograph.org.uk/photo/1311
129	54.1297	-1.67095	5.2500	2.1875	7,3,5,6	http://www.geograph.org.uk/photo/1316
130	54.1117	-1.64049	4.6250	4.2344	2,6,7,1,5,7,4,5	http://www.geograph.org.uk/photo/1320
131	53.1371	-0.990884	2.4286	1.1020	2,2,2,1,4,4,2	http://www.geograph.org.uk/photo/1328
